Grams,Length,Width,Height,Business
3,102,5,6,McDonalds
3,84,5,5,McDonalds
3,104,6,6,McDonalds
1,52,5,6,McDonalds
3,95,5,5,McDonalds
3,95,6,5,McDonalds
3,96,5,6,McDonalds
2,69,7,5,McDonalds
2,77,5,5,McDonalds
2,49,5,5,McDonalds
2,95,6,5,McDonalds
2,81,5,5,McDonalds
2,54,5,5,McDonalds
1,62,5,5,McDonalds
2,67,5,5,McDonalds
2,80,5,5,McDonalds
3,109,5,5,McDonalds
2,57,5,5,McDonalds
3,103,5,5,McDonalds
3,116,5,5,McDonalds
2,61,5,4,McDonalds
2,57,5,5,McDonalds
2,82,5,5,McDonalds
3,97,5,5,McDonalds
0,40,2,5,McDonalds
1,38,5,5,McDonalds
2,60,5,5,McDonalds
4,135,5,5,McDonalds
1,37,5,4,McDonalds
3,80,5,5,McDonalds
2,83,4,5,McDonalds
3,90,5,5,McDonalds
2,80,5,4,McDonalds
1,55,5,5,McDonalds
2,89,5,5,McDonalds
2,73,4,5,McDonalds
2,60,5,5,McDonalds
2,92,5,5,McDonalds
2,78,5,5,McDonalds
1,45,5,5,McDonalds
2,46,5,5,McDonalds
3,129,5,4,McDonalds
1,48,4,4,McDonalds
3,110,5,5,McDonalds
1,46,5,5,McDonalds
2,77,5,5,McDonalds
2,85,4,5,McDonalds
1,48,3,6,McDonalds
0,15,3,5,McDonalds
4,118,5,5,McDonalds
2,67,5,5,McDonalds
1,37,4,5,McDonalds
2,68,6,6,McDonalds
2,60,5,5,McDonalds
1,52,5,5,McDonalds
1,50,5,5,McDonalds
2,95,4,5,McDonalds
1,38,5,5,McDonalds
1,59,5,6,McDonalds
2,91,5,5,McDonalds
3,85,5,5,McDonalds
2,65,3,5,McDonalds
2,77,5,5,McDonalds
1,50,5,5,McDonalds
1,50,5,6,McDonalds
1,30,7,5,McDonalds
1,36,5,5,McDonalds
2,59,5,5,McDonalds
2,75,5,5,McDonalds
1,53,6,5,McDonalds
1,41,5,5,McDonalds
3,95,5,5,McDonalds
2,66,5,4,McDonalds
2,65,5,5,McDonalds
3,90,5,5,McDonalds
2,66,4,5,McDonalds
2,66,5,4,McDonalds
1,36,6,6,McDonalds
2,83,5,5,McDonalds
2,70,6,6,McDonalds
3,88,5,6,McDonalds
1,47,4,5,McDonalds
1,34,5,6,McDonalds
2,51,5,5,McDonalds
1,50,3,5,McDonalds
1,31,5,5,McDonalds
1,60,6,5,McDonalds
1,35,5,4,McDonalds
1,64,5,5,McDonalds
2,80,5,5,McDonalds
1,41,5,5,McDonalds
1,45,5,5,McDonalds
1,36,5,5,McDonalds
1,42,5,5,McDonalds
0,24,3,4,McDonalds
3,102,5,7,Wendys
3,79,6,8,Wendys
1,65,8,6,Wendys
2,78,6,10,Wendys
5,132,10,6,Wendys
2,70,7,4,Wendys
3,94,9,7,Wendys
3,118,10,6,Wendys
3,115,10,6,Wendys
2,90,9,6,Wendys
3,77,6,7,Wendys
3,63,5,9,Wendys
2,85,6,8,Wendys
3,98,5,8,Wendys
2,77,5,7,Wendys
2,80,8,6,Wendys
3,89,6,9,Wendys
2,75,8,7,Wendys
4,95,6,9,Wendys
1,65,7,5,Wendys
4,111,7,6,Wendys
2,58,7,6,Wendys
2,66,6,8,Wendys
2,67,8,6,Wendys
3,95,8,7,Wendys
3,90,7,6,Wendys
2,70,8,6,Wendys
2,72,6,8,Wendys
2,65,8,5,Wendys
2,78,9,6,Wendys
1,50,6,8,Wendys
1,58,9,3,Wendys
1,50,7,6,Wendys
2,55,6,9,Wendys
2,63,9,5,Wendys
2,61,8,7,Wendys
1,46,8,5,Wendys
3,81,6,7,Wendys
2,63,7,5,Wendys
2,63,8,5,Wendys
3,91,9,5,Wendys
2,66,8,5,Wendys
1,45,5,8,Wendys
4,99,8,6,Wendys
2,68,9,5,Wendys
2,65,8,6,Wendys
1,50,6,5,Wendys
2,63,8,5,Wendys
1,51,8,5,Wendys
3,97,6,5,Wendys
2,65,8,5,Wendys
3,79,8,5,Wendys
1,44,6,6,Wendys
